,global_time_interval
0,43
1,19
2,42
3,5
4,13
5,32
6,42
7,14
8,40
9,29
10,21
11,26
12,46
13,32
14,12
15,47
16,25
17,17
18,46
19,5
20,19
21,38
22,37
23,31
24,30
25,10
26,0
27,46
28,27
29,29
30,1
31,41
32,35
33,9
34,29
35,13
36,35
37,38
38,11
39,3
40,21
41,30
42,36
43,20
44,17
45,47
46,18
47,44
48,16
49,14
50,43
51,32
52,4
53,18
54,23
55,25
56,16
57,8
58,15
59,44
60,2
61,27
62,20
63,12
64,17
65,34
66,33
67,45
68,21
69,37
70,19
71,5
72,0
73,14
74,7
75,1
76,34
77,13
78,25
79,20
80,37
81,5
82,44
83,47
84,37
85,43
86,20
87,28
88,33
89,33
90,12
91,38
92,42
93,17
94,26
95,7
96,30
97,35
98,21
99,39
100,31
101,37
102,0
103,0
104,47
105,25
106,16
107,44
108,37
109,13
110,35
111,28
112,14
113,26
114,34
115,18
116,37
117,29
118,45
119,27
120,39
121,29
122,45
123,31
124,44
125,24
126,1
127,30
128,29
129,38
130,43
131,20
132,27
133,46
134,25
135,25
136,30
137,14
138,38
139,43
140,38
141,42
142,17
143,40
144,30
145,23
146,39
147,30
148,46
149,45
150,24
151,23
152,41
153,44
154,47
155,17
156,10
157,17
158,2
159,46
160,15
161,15
162,40
163,14
164,21
165,0
166,36
167,46
168,30
169,0
170,15
171,3
172,45
173,34
174,15
175,3
176,3
177,12
178,19
179,22
180,22
181,42
182,44
183,29
184,38
185,16
186,11
187,9
188,32
189,37
190,29
191,18
192,21
193,18
194,34
195,12
196,39
197,34
198,36
199,1
200,8
201,41
202,38
203,21
204,14
205,17
206,6
207,41
208,46
209,32
210,15
211,24
212,23
213,35
214,36
215,10
216,10
217,37
218,36
219,44
220,15
221,13
222,35
223,2
224,19
225,34
226,37
227,21
228,28
229,23
230,39
231,0
232,4
233,9
234,42
235,22
236,17
237,46
238,36
239,20
240,16
241,23
242,24
243,30
244,41
245,4
246,40
247,40
248,16
249,45
250,10
251,35
252,17
253,36
254,20
255,39
256,22
257,18
258,6
259,19
260,0
261,18
262,25
263,20
264,35
265,26
266,9
267,15
268,24
269,30
270,5
271,43
272,2
273,27
274,45
275,31
276,15
277,14
278,24
279,27
280,45
281,26
282,28
283,6
284,31
285,22
286,41
287,27
288,42
289,40
290,42
291,27
292,26
293,0
294,24
295,6
296,37
297,16
298,26
299,36
300,37
301,7
302,38
303,36
304,2
305,39
306,46
307,33
308,6
309,41
310,17
311,19
312,31
313,33
314,6
315,45
316,35
317,35
318,17
319,30
320,45
321,38
322,41
323,25
324,47
325,37
326,16
327,31
328,5
329,46
330,12
331,22
332,27
333,24
334,21
335,16
336,20
337,0
338,32
339,26
340,23
341,26
342,17
343,22
344,2
345,36
346,5
347,12
348,41
349,22
350,7
351,2
352,6
353,15
354,42
355,38
356,5
357,5
358,24
359,27
360,36
361,16
362,36
363,0
364,16
365,37
366,10
367,1
368,3
369,2
370,28
371,31
372,10
373,33
374,15
375,22
376,43
377,6
378,38
379,1
380,4
381,39
382,31
383,7
384,4
385,9
386,34
387,33
388,29
389,14
390,40
391,3
392,37
393,20
394,45
395,23
396,3
397,16
398,10
399,13
400,39
401,24
402,29
403,27
404,37
405,46
406,20
407,28
408,36
409,3
410,23
411,1
412,14
413,16
414,45
415,19
416,40
417,18
418,45
419,17
420,11
421,20
422,30
423,7
424,17
425,38
426,39
427,46
428,37
429,36
430,13
431,41
432,40
433,2
434,45
435,15
436,39
437,42
438,6
439,31
440,16
441,28
442,23
443,41
444,42
445,41
446,19
447,20
448,31
449,9
450,34
451,39
452,21
453,20
454,37
455,39
456,41
457,24
458,40
459,2
460,44
461,16
462,35
463,12
464,7
465,1
466,33
467,16
468,5
469,39
470,36
471,12
472,14
473,9
474,16
475,9
476,33
477,45
478,31
479,22
480,20
481,28
482,40
483,46
484,38
485,13
486,40
487,14
488,40
489,37
490,2
491,47
492,11
493,40
494,19
495,40
496,24
497,9
498,15
499,40
500,41
501,11
502,26
503,47
504,41
505,13
506,40
507,7
508,13
509,20
510,9
511,13
512,32
513,40
514,22
515,34
516,0
517,20
518,17
519,40
520,12
521,41
522,15
523,19
524,39
525,15
526,33
527,41
528,19
529,47
530,12
531,40
532,47
533,21
534,7
535,35
536,45
537,41
538,19
539,46
540,21
541,15
542,5
543,45
544,44
545,47
546,6
547,14
548,6
549,6
550,10
551,0
552,28
553,28
554,13
555,3
556,15
557,29
558,22
559,28
560,37
561,37
562,2
563,13
564,37
565,7
566,7
567,2
568,41
569,7
570,1
571,35
572,36
573,36
574,14
575,14
576,32
577,18
578,20
579,17
580,30
581,42
582,31
583,36
584,20
585,46
586,18
587,8
588,34
589,0
590,1
591,25
592,33
593,38
594,0
595,40
596,19
597,20
598,2
599,34
600,11
601,2
602,5
603,44
604,17
605,36
606,24
607,17
608,47
609,38
610,17
611,41
612,21
613,15
614,47
615,3
616,15
617,28
618,41
